Company Number,Company Name,Company Status,Officer Name,Officer Role,Occupation,Appointed On,Nationality,Country of Residence
10956960,DDA CONSULTANCY LTD,active,"DAY, Darren Andrew Paul",director,Electrical & Electronics Engineer,11/09/2017,British,United Kingdom
12470796,DEEP SYM LIMITED,active,"ZHIGALINA, Kira",director,Artist,20/02/2020,British,United Kingdom
12742293,DELAN ENGINEERING LTD,active,"DELANOWSKA, Ewelina",director,Company Director,14/07/2020,Polish,England
12742293,DELAN ENGINEERING LTD,active,"DELANOWSKI, Tomasz Jan",director,Company Director,14/07/2020,Polish,England
12873616,DELIVERYBOXX LTD,active,"BARBERI, Gianni",director,Director,11/09/2020,British,United Kingdom
12873616,DELIVERYBOXX LTD,active,"COOPER, Mark",director,Director,11/09/2020,British,United Kingdom
2793872,DEMAND TECHNOLOGY INTERNATIONAL LIMITED,active,"LEE, David George",secretary,Accountant,08/04/1999,British,N/A
2793872,DEMAND TECHNOLOGY INTERNATIONAL LIMITED,active,"HODGES, Scott Jonathon",director,Company Director,25/06/2021,British,England
2793872,DEMAND TECHNOLOGY INTERNATIONAL LIMITED,active,"KIRKPATRICK, Neven John",director,Company Director,25/06/2021,British,England
2793872,DEMAND TECHNOLOGY INTERNATIONAL LIMITED,active,"LEE, David George",director,Accountant,08/04/1999,British,England
14581806,DEMATONE LTD,active,"WARD, Mathew Robert",director,Engineer,10/01/2023,British,England
14111739,DEN INNOVATIONS LIMITED,active,"KHATTAK, Yasser",director,Chief Executive,17/05/2022,British,England
14596120,DESIGN PARTICLES LTD,active,"AIOANE, Bogdan-Marian",director,Engineer,16/01/2023,Romanian,England
12237912,DEVELOPPA PRODUCTS LTD,active,"WEISER VILLAMIZAR, Roberto Javier",director,Electrical Engineer,01/10/2019,"German,Venezuelan",Thailand
9396819,DEVIALET UK LTD,active,"KAUSAR, Abbas",secretary,N/A,14/03/2022,N/A,N/A
9396819,DEVIALET UK LTD,active,"DEMONT, Jacques",director,Chief Executive Officer,31/01/2024,Swiss,Switzerland
9803145,DIA-VIT LTD,active,"ARKO, Zoran, Mr.",director,Director,23/11/2017,Slovenian,Slovenia
9803145,DIA-VIT LTD,active,"VRANICAR, Barbara Vtic",director,None,10/06/2019,Slovenian,Slovenia
13545063,DIGI BAZAR LTD,active,"MIAH, Anor",director,Managing Director,03/08/2021,British,United Kingdom
NI050530,DIGI REPAIRS (UK & IRELAND) LIMITED,active,"GREENE, Martin Michael",secretary,N/A,01/05/2004,Northern Irish,N/A
NI050530,DIGI REPAIRS (UK & IRELAND) LIMITED,active,"GREENE, Margaret Claire",director,Accounts Manager,01/05/2004,Irish,Northern Ireland
NI050530,DIGI REPAIRS (UK & IRELAND) LIMITED,active,"GREENE, Martin Michael",director,Engineer,01/05/2004,Northern Irish,Northern Ireland
10946434,DIGITAL CLEF LIMITED,active,"VETTESE, Sergio Joseph",director,Company Director,05/09/2017,British,England
10063168,DIGITAL DEPOT LTD,active,"BEALES, Jonathan Henry",director,Director,15/03/2016,British,England
10491094,DIGITAL LABS ASSOCIATES LTD,active,"KNOBLOCH HODAK, Kristian",director,Designer,22/11/2016,German,England
9372578,DIGITAL RECOGNITION LIMITED,active,"CSAKANY, Peter, Dr",director,Director,05/01/2015,British,England
3409274,DIRECT CABLE SYSTEMS LIMITED,active,"SPANBOK, David",director,Company Director,25/07/1997,British,United Kingdom
11763135,DIY-EFI LTD,active,"BRANDON, Isabel Rose",director,Company Director,15/05/2024,English,England
11763135,DIY-EFI LTD,active,"BRANDON, James William",director,Software Engineer,11/01/2019,British,United Kingdom
6200882,DMX DESIGN LIMITED,active,"TOLLEY, Kimberley Anne",secretary,N/A,03/04/2007,British,N/A
6200882,DMX DESIGN LIMITED,active,"TOLLEY, Christopher Vincent",director,Technical Designer,03/04/2007,British,England
2805935,DNH WORLD-WIDE LIMITED,active,"EDWARDSEN, Harald",director,Assistant General Manager,29/04/1993,Norwegian,Norway
2805935,DNH WORLD-WIDE LIMITED,active,"GOLDS, Keith Grahame",director,Managing Director,01/01/1995,British,United Kingdom
8204981,DOCTOR KING & COMPANY LIMITED,active,"KING, William Anthony Brian Charles David Eric Frederick Gary, Dr",director,Doctor & Managing Director,06/09/2012,British,United Kingdom
13501779,DOCTOR KING TECHNOLOGY CO. LTD.,active,"KING, William Anthony Brian Charles, Dr",secretary,N/A,08/07/2021,N/A,N/A
13501779,DOCTOR KING TECHNOLOGY CO. LTD.,active,"KING, William Anthony Brian Charles David Eric Frederick Gary, Dr",director,Doctor,08/07/2021,British,United Kingdom
14028429,DOWNRIVER LIMITED,active,"DESAI, Amar",director,Software Engineer,06/04/2022,English,England
14028429,DOWNRIVER LIMITED,active,"MACKEONIS, Callum Jack",director,Software Engineer,06/04/2022,British,United Kingdom
SC737850,DREADNOISE LTD,active,"BOOTH, Liam Thomas",director,Engineer,08/07/2022,Scottish,Scotland
15495333,DRONE SPICES LTD,active,"SELIN, Dmytro",secretary,N/A,16/02/2024,N/A,N/A
15495333,DRONE SPICES LTD,active,"SELIN, Dmytro",director,Software Engineer,16/02/2024,Ukrainian,England
SC614688,DROWN LTD.,active,"LAW, David John",director,Entrepreneur,18/12/2018,British,United Kingdom
SC614688,DROWN LTD.,active,"O'CALLAGHAN, Mark William",director,Director,26/11/2018,British,United Kingdom
10658282,DRP LONDON LIMITED,active,"POLL, Robert Stanley",director,Photographer,08/03/2017,British,United Kingdom
6964690,DYNAMIQUE AUDIO LTD,active,"HASSANY, Daniel",director,Director,16/07/2009,British,England
7295701,DYNAMO REGULATORS LIMITED,active,"BAKER, Steven Roy",director,Company Director,21/03/2023,British,England
2490549,E.M.R. INTERNATIONAL LIMITED,active,"WALKER, Jennifer Elizabeth",secretary,N/A,,British,N/A
2490549,E.M.R. INTERNATIONAL LIMITED,active,"WALKER, Jennifer Elizabeth",director,Company Director,,British,United Kingdom
2490549,E.M.R. INTERNATIONAL LIMITED,active,"WALKER, Louise Charlotte",director,Director,10/04/2025,British,England
2490549,E.M.R. INTERNATIONAL LIMITED,active,"WALKER, Robert Frederick",director,Electrical Engineer,,British,United Kingdom
8983750,EAGLE COMPUTER SERVICES LIMITED,active,"EAGLE, Lawrence Michael",director,Director,08/04/2014,British,England
9883498,EARTEX LTD,active,"BRAUER, Neville",director,Business Person,12/10/2020,British,England
9883498,EARTEX LTD,active,"DE KONING, Kees",director,Director,12/10/2020,Dutch,Netherlands
9883498,EARTEX LTD,active,"GREENBERG, David, Dr",director,Company Director,23/11/2015,British,England
9883498,EARTEX LTD,active,"TAYLOR, Alicia",director,Manager,11/04/2024,British,United Kingdom
3080510,EASTERDOWN LTD,active,"WARD, Michael Christopher",secretary,Company Secretary,17/07/1995,British,N/A
3080510,EASTERDOWN LTD,active,"JAFFEE, Vickie Jocelyn",director,Director,17/07/1995,American,United Kingdom
SC573331,EBIKE.SCOT LTD,active,"QUEEN, Robert",director,Electrical Engineer,10/08/2017,Scottish,Scotland
6221546,ECOBION INDUSTRIES LTD,active,"STEVENS, Brent Clifford",secretary,Design Programmer,20/04/2007,British,N/A
6221546,ECOBION INDUSTRIES LTD,active,"STEVENS, Brent Clifford",director,Entrepreneur,20/04/2007,British,England
8830384,EFFICIENT TECHNOLOGY LTD,active,"JODIYAWALLA, Hussein",director,Manager,03/01/2014,British,United Kingdom
SC728551,EFTEX LIMITED,active,"MCGREGOR, Donald",director,Director,04/04/2022,British,Scotland
10955823,EGGCELLENT LIGHTING LTD,active,"O'SULLIVAN, Sean",secretary,N/A,11/09/2017,N/A,N/A
10955823,EGGCELLENT LIGHTING LTD,active,"GREEN, David",director,Managing Director,11/09/2017,British,England
10955823,EGGCELLENT LIGHTING LTD,active,"O'SULLIVAN, Sean",director,Finance Director,11/09/2017,British,United Kingdom
13723824,EHR GROUP LTD,active,"RAKHA, Ejaz Hussain",director,Managing Director,04/11/2021,British,England
13600869,EKT DIGITAL LIMITED,active,"LI, Wing Loi",director,Director,03/09/2021,British,United Kingdom
14396651,ELECTRONIC MATERIALS OFFICE LIMITED,active,"EMERSON, Andrew",director,Designer,04/10/2022,Irish,United Kingdom
14396651,ELECTRONIC MATERIALS OFFICE LIMITED,active,"GARAVARYAN, Alexis Vladimir",director,Investor Director,07/05/2025,French,Singapore
NI054513,ELECTRONIC SCOREBOARD UNITS LTD,active,"MEENAN, Brenda",director,Housewife,04/04/2005,Irish,Northern Ireland
14113218,ELETISER LTD,active,"RGUIB, Hafsa",director,Director,17/05/2022,Moroccan,Scotland
3259777,ELGON TECHNOLOGY LIMITED,active,"FORREST, Hazel",director,Director,07/10/1996,British,United Kingdom
11578671,ELIMO ENGINEERING LTD,active,"RICHARDS-MARTIN, Simon",director,Electronics Engineer,20/09/2018,British,England
11578671,ELIMO ENGINEERING LTD,active,"SCORDINO, Matteo",director,Embedded Software Engineer,20/09/2018,"British,Italian",England
14934824,ELITE INNOVATE LTD,active,"HU, Jingen",director,Director,15/06/2024,Chinese,China
13929580,ELUXEVO LIMITED,active,"SMITH, Maximillian Federico Alec",director,Managing Director,21/02/2022,British,England
13481030,ELVIKOM LAB LTD,active,"VOGELSINGER, Lukasz Zbigniew",director,Computer Engineer,28/06/2021,Polish,England
4409993,EM ACOUSTICS LIMITED,active,"KINSELLA, Edward",secretary,Company Secretary,05/04/2002,British,N/A
4409993,EM ACOUSTICS LIMITED,active,"KINSELLA, Edward",director,Company Director,05/04/2002,British,England
4409993,EM ACOUSTICS LIMITED,active,"WHEELER, Michael Robert",director,Company Director,05/04/2002,British,England
5260778,EMBEDDED LOGIC LIMITED,active,"GONIAS, Angelos",director,Director,19/06/2019,Greek,England
5260778,EMBEDDED LOGIC LIMITED,active,"WONG, Ka Yee",director,Company Director,09/11/2017,British,England
SC472867,EMFIELDS SOLUTIONS LTD,active,"COHEN, Andrew James",director,Electronics Engineer,11/03/2019,British,England
SC472867,EMFIELDS SOLUTIONS LTD,active,"PAINE, Sarah Margaret",director,Accountant,19/03/2014,British,United Kingdom
SC472867,EMFIELDS SOLUTIONS LTD,active,"PHILIPS, Alasdair Maclean",director,Engineer,19/03/2014,British,Scotland
6901870,EMILEN AUDIO LIMITED,active,"STANDEN, John",secretary,N/A,21/05/2009,Other,N/A
6901870,EMILEN AUDIO LIMITED,active,"STANDEN, John Paul",director,Engineer,21/05/2009,British,United Kingdom
6901870,EMILEN AUDIO LIMITED,active,"STANDEN, Susan",director,Manager,21/05/2009,British,United Kingdom
9189601,EMOTECH LTD.,active,"ZHUANG, Hongbin",director,Entrepreneur,28/08/2014,Chinese,China
4481671,ENDOENERGY SYSTEMS LIMITED,active,"VIRK, Gurvinder Singh, Professor",director,Managing Director,10/07/2002,British,England
4481671,ENDOENERGY SYSTEMS LIMITED,active,"VIRK, Santosh Kaur",director,Retired Nurse,30/07/2018,British,England
12617129,ENERGY RECOVERY TECHNOLOGIES LIMITED,active,"MATTOO, Abdul Wahid",director,Digital Marketing Manager,01/08/2023,Indian,England
12617129,ENERGY RECOVERY TECHNOLOGIES LIMITED,active,"REEVES-JACKSON, Simon",director,Company Director,21/05/2020,British,United Kingdom
12617129,ENERGY RECOVERY TECHNOLOGIES LIMITED,active,"SYED, Waqar Ahmed",director,Operations Manager,09/08/2023,Pakistani,England
12617129,ENERGY RECOVERY TECHNOLOGIES LIMITED,active,"ZAHID, Aumber, Dr",director,Sales And Marketing Manager,09/08/2023,Pakistani,England
4698860,ENIGMA ELECTRONICS.COM LIMITED,active,"GURNEY, Sarah Kathryn",secretary,N/A,03/04/2023,N/A,N/A
4698860,ENIGMA ELECTRONICS.COM LIMITED,active,"GURNEY, Peter, Dr",director,Design Engineer,17/03/2003,British,United Kingdom
4698860,ENIGMA ELECTRONICS.COM LIMITED,active,"GURNEY, Sarah Kathryn",director,Teacher,01/01/2020,British,England
NI073534,ENVIROTRONICS NI LTD,active,"MATTHEWS, Garth Andrew Philip",director,Director,19/08/2009,British,Northern Ireland
NI073534,ENVIROTRONICS NI LTD,active,"PAUL, William Thomas",director,Director,19/08/2009,British,Northern Ireland
8855105,EPITOMICAL LIMITED,active,"ALAM, Danish Maqsood",director,Director,21/01/2014,Indian,United Kingdom
10551443,EQEQUIPMENT LIMITED,active,"GRANTHAM, Thomas Charles",director,Director,06/01/2017,British,England
14603041,EREYNA LABS LIMITED,active,"CANTON JARA, Moises",director,Company Director,13/11/2024,Spanish,England
14603041,EREYNA LABS LIMITED,active,"LINTEN, David John",director,Director,19/01/2023,British,United Kingdom
2224966,ESKAN ELECTRONICS LIMITED,active,"ANDERSON, Shaun",director,Engineer,28/11/2014,British,England
SC750138,ETIVE ENGINEERING LTD,active,"DOCHERTY, Claire",secretary,N/A,18/12/2024,N/A,N/A
SC750138,ETIVE ENGINEERING LTD,active,"SLUDDEN, Dominic",director,Director,11/11/2022,British,Scotland
4011224,EURO CIRCUIT BOARDS LIMITED,active,"SMITH, Victor Ernest",secretary,Company Secretary,01/06/2007,British,N/A
4011224,EURO CIRCUIT BOARDS LIMITED,active,"SMITH, Diana Winifred",director,Director,01/06/2007,English,England
4011224,EURO CIRCUIT BOARDS LIMITED,active,"SMITH, Victor Ernest",director,Company Secretary,03/02/2010,British,England
SC742706,EVERYTHING SMART TECHNOLOGY LTD,active,"BARCLAY, David John",director,Electrical Engineer,29/08/2022,British,Scotland
SC742706,EVERYTHING SMART TECHNOLOGY LTD,active,"BARCLAY, Lewis Scott",director,It Professional,29/08/2022,Scottish,Scotland
SC742706,EVERYTHING SMART TECHNOLOGY LTD,active,"BARCLAY, Sandra Morag",director,Social Worker,29/08/2022,British,Scotland
SC742706,EVERYTHING SMART TECHNOLOGY LTD,active,"BARCLAY, Sarah Elizabeth",director,Business Executive,29/08/2022,Scottish,Scotland
11733028,EVOCATORS GROUP LTD,active,"FRICKEL, Christiaan Gerardus",secretary,N/A,18/12/2018,N/A,N/A
11733028,EVOCATORS GROUP LTD,active,"FRICKEL, Christiaan Gerardus",director,It Consultant,18/12/2018,Welsh,England
11733028,EVOCATORS GROUP LTD,active,"FRICKEL, Rachel Jane",director,Administrator,18/12/2018,British,United Kingdom
3150900,EXCEL AUDIO SYSTEMS LIMITED,active,"MITCHELL, Stuart Lawrence",secretary,N/A,25/01/1996,British,N/A
3150900,EXCEL AUDIO SYSTEMS LIMITED,active,"MITCHELL, Stuart Lawrence",director,Electronics Engineer,25/01/1996,British,England
3150900,EXCEL AUDIO SYSTEMS LIMITED,active,"TODD, Graham",director,Director,23/11/1998,British,United Kingdom
11408085,EXON AI LTD,active,"JESSOP, Jodie Lian",secretary,N/A,11/06/2018,N/A,N/A
11408085,EXON AI LTD,active,"JESSOP, Paul Richard",director,Director & Manager,11/06/2018,British,United Kingdom
14579610,EXPANSEELECTRONICS LTD,active,"HOPPE, Alexander",director,Company Director,09/01/2023,German,England
3265763,EXPOSURE ELECTRONICS LIMITED,active,"ROBINSON, Zoe",secretary,N/A,20/09/2010,N/A,N/A
3265763,EXPOSURE ELECTRONICS LIMITED,active,"HILL, Peter Dominic",director,Director,02/04/2014,British,England
3265763,EXPOSURE ELECTRONICS LIMITED,active,"MOHD ADLIL, Che Wan",director,Businessman,06/04/2005,Malaysian,Malaysia
12507734,EYE TRACKING SYSTEMS LTD,active,"COX, John Stephen, Dr",director,Researcher,10/03/2020,British,United Kingdom
9318965,F&S TRANSFORMERS LTD,active,"EVANS, Thomas George",director,Electrical Engineer,10/02/2025,British,United Kingdom
2892657,F.T.M. MARKETING LIMITED,active,"BAHRANI, Haider Kais",secretary,Electronic Engineer,28/01/1994,British,N/A
2892657,F.T.M. MARKETING LIMITED,active,"BAHRANI, Haider Kais",director,Electronic Engineer,28/01/1994,British,England
2892657,F.T.M. MARKETING LIMITED,active,"CASADEI, Remo",director,Electronic Engineer,28/01/1994,Italian,United Kingdom
7616176,F1 RETAIL LIMITED,active,"PAPAGNO, Luigi James",director,Director,27/04/2011,British,England
SC587067,F7S LIMITED,active,"MADRE DEUS, Frenoy Osburn",director,Company Director,29/01/2018,Portuguese,Scotland
7109914,FALCON ACOUSTICS LIMITED,active,"BLOOMFIELD, Jeremy John",secretary,N/A,21/12/2009,N/A,N/A
7109914,FALCON ACOUSTICS LIMITED,active,"BLOOMFIELD, Jeremy John",director,Consultant,21/12/2009,British,United Kingdom
7109914,FALCON ACOUSTICS LIMITED,active,"SCHUSTER, Anne Michaela",director,Administrator,21/12/2009,British,United Kingdom
4926912,FERGUSON HILL STUDIOS LIMITED,active,"HILL, Barbara Rosemary",secretary,N/A,01/11/2005,British,N/A
4926912,FERGUSON HILL STUDIOS LIMITED,active,"HILL, Timothy Ferguson",director,Director,09/10/2003,British,England
15533978,FETHER LABS LIMITED,active,"BLAGBURN, Jacques Roger Leon",director,Research Assistant,01/03/2024,"British,French",United Kingdom
15533978,FETHER LABS LIMITED,active,"CHOI, James Junesik",director,Senior Lecturer,01/03/2024,"British,American",United Kingdom
15533978,FETHER LABS LIMITED,active,"MA, Rongyu",director,Co-Founder,24/02/2025,Chinese,United Kingdom
7837974,FICTITIOUS CAPITAL LIMITED,active,"LEE, Richard Jason",director,Product Developer,26/06/2023,Irish,Ireland
7837974,FICTITIOUS CAPITAL LIMITED,active,"MORVAN, Helen Leonora",director,Gp,08/05/2025,British,England
7837974,FICTITIOUS CAPITAL LIMITED,active,"MORVAN, Yann Pierre Joseph",director,Researcher,07/11/2011,French,England
13672728,FIELDTECH SYSTEMS LTD,active,"GOTHARD, Bradley",director,Electronic Engineer,11/10/2021,British,England
11238194,FINGOTI LIMITED,active,"BARRETT, Alexander Luke",director,Chief Technology Officer,31/07/2020,English,England
11238194,FINGOTI LIMITED,active,"REBURN, George",director,Managing Director,06/03/2018,British,England
3991353,FIREANGEL SAFETY TECHNOLOGY GROUP PLC,active,"WILDING, Adrian",secretary,N/A,28/05/2024,N/A,N/A
3991353,FIREANGEL SAFETY TECHNOLOGY GROUP PLC,active,"RUTTER, Nicholas Alexander",director,Company Director,23/08/2024,British,United Kingdom
3991353,FIREANGEL SAFETY TECHNOLOGY GROUP PLC,active,"WANG, Jiejun",director,Company Director,23/08/2024,Chinese,China
3991353,FIREANGEL SAFETY TECHNOLOGY GROUP PLC,active,"WILDING, Adrian",director,Company Director,12/03/2024,British,England
3641019,FIREANGEL SAFETY TECHNOLOGY LIMITED,active,"RUTTER, Nicholas Alexander",director,Director,20/12/2024,British,England
3641019,FIREANGEL SAFETY TECHNOLOGY LIMITED,active,"WILDING, Adrian",director,Company Director,24/05/2024,British,England
6315305,FLARE AUDIO LIMITED,active,"ROBERTS, Davies Richard",director,Ceo,17/07/2007,British,United Kingdom
6315305,FLARE AUDIO LIMITED,active,"ROBERTS, Naomi",director,Ceo,17/07/2007,British,United Kingdom
4676938,FLASHBAY LIMITED,active,"WEBSTER, Stephen John",secretary,N/A,23/05/2016,N/A,N/A
4676938,FLASHBAY LIMITED,active,"WEBSTER, Stephen John",director,Director,04/04/2016,British,England
4676938,FLASHBAY LIMITED,active,"WILLIAMS, Ieuan",director,Company Director,28/12/2016,British,Australia
12362479,FLASHX LTD,active,"BEN NEJIMA, Monia",director,Project Manager,13/12/2019,Italian,United Kingdom
12154193,FLIGHT WITHOUT WINGS LIMITED,active,"BHAIYAT, Mohammed",director,Marketing Manager,13/08/2019,British,England
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"GODRICH, Francine",secretary,N/A,24/04/2023,N/A,N/A
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"CARROLL, Timothy Paul",director,Company Director,01/01/2017,American,United Kingdom
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"DINGLEY, Timothy John",director,Operations Director,28/07/2010,British,England
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"DUDDERIDGE, Philip Stephen",director,Company Director,,British,United Kingdom
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"HAWLEY, Damian Robert",director,Sales Director,01/10/2009,British,England
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"HOLT, Simon",director,Company Director,14/09/2016,British,England
2357989,FOCUSRITE AUDIO ENGINEERING LIMITED,active,"MCKONE, Sally Ann",director,Director,01/03/2021,British,England
13458547,FOTOSTAX LTD,active,"MCBRIDE, Jonathan Neal",director,Chief Executive,15/06/2021,"American,Italian",England
13458547,FOTOSTAX LTD,active,"OSNOS, Rachel",director,Cmo,08/06/2023,American,England
4511276,FREEMODE GO LTD,active,"GUINCHARD, Lee Marcel",director,Director,01/02/2022,American,United States
4511276,FREEMODE GO LTD,active,"HOGARTH, Christopher",director,General Manager,15/08/2025,British,England
8618486,FREEVOLT TECHNOLOGIES LIMITED,active,"DRAYSON, Elspeth Jane, Lady",director,Director,15/04/2014,British,England
8618486,FREEVOLT TECHNOLOGIES LIMITED,active,"DRAYSON, Paul Rudd, Lord",director,Director,22/07/2013,English,United Kingdom
8960939,FRETHO LIMITED,active,"PLEASANTS, David",secretary,N/A,26/03/2014,N/A,N/A
8960939,FRETHO LIMITED,active,"PLEASANTS, David Anthony",director,Director,26/03/2014,British,England
4213838,FRONTIER SMART TECHNOLOGIES LIMITED,active,"COLE, Sarah Elizabeth",secretary,N/A,24/10/2019,N/A,N/A
4213838,FRONTIER SMART TECHNOLOGIES LIMITED,active,"BRETT, Jonathan",director,Accountant,23/07/2021,British,England
4213838,FRONTIER SMART TECHNOLOGIES LIMITED,active,"COLE, Sarah Elizabeth",director,Solicitor,24/10/2019,British,England
11602958,FX TECHNOLOGY LIMITED,active,EDWIN COE SECRETARIES LIMITED,corporate-secretary,N/A,29/08/2019,N/A,N/A
11602958,FX TECHNOLOGY LIMITED,active,"CHEN, Liangchen",director,Director,03/10/2018,British,England
11602958,FX TECHNOLOGY LIMITED,active,"LI MOW CHING, Adrian Chen Kee",director,Director,03/10/2018,British,England
9213824,G & E SIGNS LTD,active,"LEONARD, Elaine Susan",director,Manager,11/09/2014,British,England
9213824,G & E SIGNS LTD,active,"LEONARD, Gerald Stephen",director,Sign Manufacturer,11/09/2014,English,England
5956885,GARDA MX LIMITED,active,"BARI, Lubna Shireen",secretary,N/A,05/10/2006,British,N/A
5956885,GARDA MX LIMITED,active,"BARI, Naseem",director,Operational Consultant,05/10/2006,British,United Kingdom
7917080,GARLAND'S PRODUCTS LIMITED,active,"GARLAND, William Thomas",director,Self Employed,20/01/2012,British,England
11788309,GARRARD TURNTABLES UK LTD.,active,"SHIRKE, Ajay",director,Company Director,25/01/2019,British,United Kingdom
8778057,GAZER LIMITED,active,"BOIAR, Serhii",director,Director,11/07/2017,Ukrainian,Ukraine
14993139,GEEKO SOFTWARE LTD,active,"ILENDA, Giannelli Touzaya-Moko",director,Unemployed,10/07/2023,British,United Kingdom
14855724,GEHPA LTD,active,"ORGU, Lawrence",director,Founder,09/05/2023,British,England
12199129,GENUINE CASE COMPANY LIMITED,active,"TAYLOR, Roy",director,Director,10/09/2019,English,United Kingdom
6670940,GEOTHERMIQUE LIMITED,active,"PRATIES, Oberon Sarah, Dr",secretary,N/A,12/08/2008,British,N/A
6670940,GEOTHERMIQUE LIMITED,active,"CARTER, Robert John",director,Energy Consultant,12/08/2008,British,England
6670940,GEOTHERMIQUE LIMITED,active,"PRATIES, Oberon Sarah, Dr",director,Energy Consultant,12/08/2008,British,England
SC712020,GEOTONE CIC,active,"BARNES, Paul Hernes",director,Artist,12/10/2021,Scottish,Scotland
SC712020,GEOTONE CIC,active,"COOK, Andrew Owen",director,Artist,28/02/2022,English,United Kingdom
14209566,GFX ATWAUL LIMITED,active,"ATWAUL, Gurjeevan Singh",director,Mechanical Engineer,01/07/2022,British,England
5901512,GGEC (EUROPE) LIMITED,active,"ZHANG, Yu",secretary,N/A,21/08/2024,N/A,N/A
5901512,GGEC (EUROPE) LIMITED,active,"HE, Weicheng",director,Company Director,10/01/2007,Chinese,China
5901512,GGEC (EUROPE) LIMITED,active,"ZHANG, Yu",director,General Manager,01/09/2024,Chinese,United States
15336952,GHOST NOTE ENGINEERING LTD,active,"ERLINGSSON, Valdemar",director,Software Engineer,08/12/2023,British,United Kingdom
10173944,GIL INT LTD,active,"LATTANZIO, Sebastiano",director,Company Director,11/05/2016,Italian,Italy
14112448,GLIDEWISE LTD,active,"BRUNSCHEN, Christian",director,Software Engineer,01/09/2024,German,England
14112448,GLIDEWISE LTD,active,"MILLIGAN, Peter Stephen",director,Consultant,17/05/2022,British,England
14112448,GLIDEWISE LTD,active,"MILLIGAN, Susan Rosemary",director,Consultant,17/05/2022,British,England
14112448,GLIDEWISE LTD,active,"SCHOUCHANA, Rafael",director,Director,02/09/2024,British,England
7939188,GLOBAL RECYCLING CORP LTD LTD,active,"KELLEGHER, John",director,Company Director,01/02/2023,Irish,England
6287653,GLOBAL VIBES LIMITED,active,"CAVALLI, Fabrizio",director,Director,20/06/2007,Italian,Italy
8696142,GLOW SYSTEMS LTD.,active,"HICKS, Stephen Frank",secretary,N/A,18/09/2013,N/A,N/A
8696142,GLOW SYSTEMS LTD.,active,"HICKS, Helen Susan",director,Teacher,18/09/2013,British,Wales
8696142,GLOW SYSTEMS LTD.,active,"HICKS, Stephen Frank",director,Designer,18/09/2013,British,United Kingdom
13132342,GO GAMES LTD,active,"OCONNOR, Gianni",director,Director,13/01/2021,British,United Kingdom
NI675025,GOOD FRIDAY ROBOTICS LTD,active,"HUTTON, Jack",director,Engineering Consultant,16/12/2020,Irish,Northern Ireland
2711002,GP ACOUSTICS (UK) LIMITED,active,"LAU, Kam Kuen",secretary,N/A,01/11/2006,British,N/A
2711002,GP ACOUSTICS (UK) LIMITED,active,"LAM, Hin Lap",director,Director,19/10/2016,Australian,Hong Kong
2711002,GP ACOUSTICS (UK) LIMITED,active,"LI, Brian Yiu Cheung",director,Vice Chairman & Managing Director,20/11/1997,Canadian,N/A
2711002,GP ACOUSTICS (UK) LIMITED,active,"LO, Kit Yee Grace",director,President,19/10/2016,Chinese,Hong Kong
10601359,GPLEXTEK LIMITED,active,"MICHAEL, Joseph",secretary,N/A,06/02/2017,N/A,N/A
10601359,GPLEXTEK LIMITED,active,"MICHAEL, Joseph",director,Computer Engineer,06/02/2017,British,United Kingdom
13483556,GRAND ACTIVATION LTD,active,"XIANG, Rong",director,Manager,29/06/2021,Chinese,England
14877194,GRAND AUDIO DESIGN UK LTD,active,"CHAN, Lok Ka",director,Interior Designer,17/05/2023,Hong Konger,England
7962445,GRANT SINCLAIR DESIGN LTD,active,"DENNIS, Cassiel",director,Company Director,23/02/2017,British,United Kingdom
7962445,GRANT SINCLAIR DESIGN LTD,active,"SINCLAIR, Grant Strathearn",director,Director,23/02/2012,British,England
11472464,GRANT SINCLAIR FUTURIST LIMITED,active,"DENNIS, Cassiel",director,Director,19/07/2018,British,United Kingdom
11472464,GRANT SINCLAIR FUTURIST LIMITED,active,"SINCLAIR, Grant Strathearn",director,Director,19/07/2018,British,England
13559386,GREAT EASTERN FX CO. LTD,active,"GREEVES, David Edward Mitchell",director,Designer,11/08/2021,British,England
5783558,GREEN ENERGY OPTIONS LTD,active,"HEBDEN, Paul David",secretary,Director Accountant,24/09/2007,British,N/A
5783558,GREEN ENERGY OPTIONS LTD,active,"ANDERSON, Simon Bryan Patrick",director,Business Consultant,18/04/2006,British,United Kingdom
5783558,GREEN ENERGY OPTIONS LTD,active,"CAIGER-SMITH, Patrick",director,Engineer,18/04/2006,British,England
5783558,GREEN ENERGY OPTIONS LTD,active,"HEBDEN, Paul David",director,Director Accountant,24/09/2007,British,England
5783558,GREEN ENERGY OPTIONS LTD,active,"JENKINS, Nicholas David",director,Director,10/01/2014,British,Great Britan
5783558,GREEN ENERGY OPTIONS LTD,active,"JOHNSON, Sharon Louise",director,Company Director,19/04/2022,British,England
